Type,Spot(S),Strike(K),Time(T),Rate(r),Vol(sigma),ExpectedPrice
PUT,100,91,1,0.04,0.2,8.0934
CALL,100,76,1,0.03,0.2,6.6322
CALL,100,91,1,0.04,0.2,9.904
CALL,100,78,1,0.03,0.2,6.9422
CALL,100,84,1,0.03,0.2,7.4052
PUT,100,97,1,0.05,0.2,9.7046
PUT,100,96,1,0.05,0.2,7.2604
PUT,100,96,1,0.05,0.2,10.2357
CALL,99,68,1,0.02,0.2,4.6793
PUT,100,91,1,0.04,0.2,3.8125
PUT,100,85,1,0.04,0.2,3.7624
CALL,99,68,1,0.02,0.2,1.7273
CALL,100,82,1,0.03,0.2,6.9149
CALL,100,76,1,0.03,0.2,2.7619
PUT,100,96,1,0.05,0.2,10.1423
CALL,97,66,1,0.02,0.2,1.9158
CALL,100,72,1,0.02,0.2,3.4293
CALL,100,73,1,0.02,0.2,7.5591
PUT,100,90,1,0.04,0.2,6.2125
CALL,70,60,0.7,0.01,0.3,1.5558
CALL,100,85,1,0.04,0.2,8.1823
CALL,93,64,0.9,0.01,0.2,1.5885
CALL,100,86,1,0.04,0.2,7.5559
CALL,100,92,1,0.04,0.2,9.4442
CALL,100,83,1,0.03,0.2,9.5568
PUT,100,100,1,0.05,0.2,10.3895
CALL,100,71,1,0.02,0.2,2.3662
CALL,91,63,0.9,0.01,0.2,1.5999
CALL,100,87,1,0.04,0.2,7.8517
CALL,96,65,1,0.02,0.2,1.6469
CALL,100,91,1,0.04,0.2,9.5541
CALL,100,79,1,0.03,0.2,5.5447
PUT,100,92,1,0.04,0.2,7.1436
PUT,100,93,1,0.04,0.2,9.0843
CALL,100,81,1,0.03,0.2,3.8463
CALL,100,95,1,0.05,0.2,10.1778
PUT,100,91,1,0.04,0.2,5.4835
CALL,100,71,1,0.02,0.2,3.4117
CALL,100,84,1,0.03,0.2,4.8262
PUT,100,95,1,0.05,0.2,10.1161
PUT,100,90,1,0.04,0.2,6.2602
CALL,100,83,1,0.03,0.2,4.1993
CALL,100,74,1,0.02,0.2,6.8893
CALL,100,76,1,0.03,0.2,2.3843
CALL,100,80,1,0.03,0.2,2.9338
PUT,100,99,1,0.05,0.2,10.3944
CALL,100,90,1,0.04,0.2,10.3391
CALL,100,78,1,0.03,0.2,8.5632
CALL,93,64,0.9,0.01,0.2,3.1566
CALL,100,73,1,0.02,0.2,1.775
CALL,100,85,1,0.04,0.2,7.8605
CALL,100,83,1,0.03,0.2,7.3617
PUT,100,94,1,0.05,0.2,7.1101
CALL,100,80,1,0.03,0.2,5.983
CALL,94,64,0.9,0.01,0.2,1.5822
CALL,93,64,0.9,0.01,0.2,1.7093
PUT,100,94,1,0.05,0.2,7.3231
CALL,100,89,1,0.04,0.2,7.9745
CALL,73,60,0.7,0.01,0.3,1.5556
CALL,100,82,1,0.03,0.2,9.7413
PUT,100,96,1,0.05,0.2,9.6485
PUT,100,99,1,0.05,0.2,10.3091
CALL,93,64,0.9,0.01,0.2,1.7113
PUT,100,81,1,0.03,0.2,2.536
CALL,100,72,1,0.02,0.2,1.6289
PUT,100,96,1,0.05,0.2,10.333
PUT,100,97,1,0.05,0.2,9.4029
PUT,100,93,1,0.04,0.2,9.2474
CALL,97,66,1,0.02,0.2,1.6113
PUT,100,83,1,0.03,0.2,3.6805
PUT,100,98,1,0.05,0.2,9.5513
PUT,100,98,1,0.05,0.2,10.3491
CALL,87,62,0.9,0.01,0.2,1.7745
CALL,100,94,1,0.05,0.2,10.4211
CALL,100,92,1,0.04,0.2,10.2183
CALL,100,81,1,0.03,0.2,6.7487
CALL,100,72,1,0.02,0.2,7.5449
CALL,100,78,1,0.03,0.2,3.2318
CALL,99,69,1,0.02,0.2,1.5736
CALL,100,91,1,0.04,0.2,9.2337
CALL,100,84,1,0.04,0.2,8.6581
CALL,100,77,1,0.03,0.2,2.5381
CALL,96,66,1,0.02,0.2,2.5433
CALL,100,77,1,0.03,0.2,5.7711
CALL,100,77,1,0.03,0.2,6.591
CALL,100,75,1,0.02,0.2,2.6752
CALL,98,68,1,0.02,0.2,1.6425
PUT,100,92,1,0.04,0.2,9.0017
CALL,64,60,0.6,0.01,0.3,1.5706
CALL,100,78,1,0.03,0.2,4.5878
CALL,100,75,1,0.02,0.2,2.8282
PUT,100,98,1,0.05,0.2,10.2637
CALL,100,76,1,0.03,0.2,2.6685
PUT,100,89,1,0.04,0.2,7.0076
CALL,100,81,1,0.03,0.2,8.6321
CALL,100,76,1,0.03,0.2,9.6251
CALL,100,85,1,0.04,0.2,6.8753
CALL,67,60,0.7,0.01,0.3,1.6181
CALL,97,66,1,0.02,0.2,2.0328
PUT,100,88,1,0.04,0.2,4.1119
CALL,100,75,1,0.03,0.2,4.5346
PUT,100,91,1,0.04,0.2,6.3726
CALL,100,73,1,0.02,0.2,5.2893
CALL,100,85,1,0.04,0.2,8.2949
CALL,74,60,0.7,0.01,0.3,1.5546
PUT,100,93,1,0.04,0.2,4.8289
CALL,99,70,1,0.02,0.2,1.6347
CALL,98,67,1,0.02,0.2,1.6196
CALL,99,69,1,0.02,0.2,1.7963
CALL,100,80,1,0.03,0.2,9.6267
PUT,100,99,1,0.05,0.2,10.4408
PUT,100,94,1,0.05,0.2,8.7777
PUT,100,97,1,0.05,0.2,9.5887
CALL,100,81,1,0.03,0.2,9.1498
CALL,100,72,1,0.02,0.2,3.6639
CALL,100,76,1,0.03,0.2,6.0279
CALL,91,63,0.9,0.01,0.2,1.7512
CALL,100,73,1,0.02,0.2,4.5332
CALL,92,63,0.9,0.01,0.2,2.899
CALL,100,76,1,0.03,0.2,6.433
CALL,92,63,0.9,0.01,0.2,1.5869
PUT,100,85,1,0.04,0.2,4.4937
CALL,100,79,1,0.03,0.2,2.5219
CALL,100,91,1,0.04,0.2,9.2924
CALL,100,79,1,0.03,0.2,4.2931
CALL,100,90,1,0.04,0.2,9.9636
CALL,100,93,1,0.04,0.2,10.1191
PUT,100,99,1,0.05,0.2,10.4411
CALL,100,81,1,0.03,0.2,4.4634
CALL,100,83,1,0.03,0.2,5.7485
PUT,100,84,1,0.03,0.2,4.1052
CALL,75,60,0.7,0.01,0.3,1.6782
PUT,100,100,1,0.05,0.2,10.4462
CALL,100,92,1,0.04,0.2,10.2974
CALL,100,73,1,0.02,0.2,3.0566
CALL,100,90,1,0.04,0.2,10.067
CALL,91,63,0.9,0.01,0.2,2.5125
CALL,100,79,1,0.03,0.2,4.4226
CALL,88,62,0.9,0.01,0.2,1.9034
CALL,96,65,1,0.02,0.2,2.3023
CALL,99,69,1,0.02,0.2,3.8127
CALL,100,83,1,0.03,0.2,7.476
CALL,99,70,1,0.02,0.2,2.2613
CALL,75,60,0.7,0.01,0.3,1.5561
CALL,92,63,0.9,0.01,0.2,4.8405
PUT,100,90,1,0.04,0.2,5.9776
PUT,100,94,1,0.05,0.2,10.0314
CALL,57,60,0.6,0.01,0.3,1.6862
PUT,100,97,1,0.05,0.2,10.4037
PUT,100,89,1,0.04,0.2,7.252
CALL,100,88,1,0.04,0.2,7.493
CALL,96,65,1,0.02,0.2,2.0214
PUT,100,86,1,0.04,0.2,5.007
CALL,100,91,1,0.04,0.2,9.833
CALL,100,76,1,0.03,0.2,2.7209
PUT,100,98,1,0.05,0.2,10.3637
CALL,80,61,0.8,0.01,0.3,1.6675
PUT,100,94,1,0.05,0.2,9.1958
CALL,100,86,1,0.04,0.2,7.1172
CALL,100,89,1,0.04,0.2,7.8002
CALL,100,83,1,0.03,0.2,4.9599
CALL,100,73,1,0.02,0.2,9.1686
PUT,100,99,1,0.05,0.2,10.305
CALL,72,60,0.7,0.01,0.3,1.722
CALL,100,72,1,0.02,0.2,1.8077
PUT,100,95,1,0.05,0.2,10.1588
PUT,100,91,1,0.04,0.2,6.2832
CALL,100,75,1,0.03,0.2,6.5424
CALL,78,60,0.8,0.01,0.3,1.7491
CALL,100,73,1,0.02,0.2,5.6106
CALL,100,85,1,0.04,0.2,10.2514
PUT,100,90,1,0.04,0.2,6.9855
PUT,100,83,1,0.03,0.2,2.9123
CALL,100,78,1,0.03,0.2,8.1142
CALL,100,81,1,0.03,0.2,6.1668
CALL,70,60,0.7,0.01,0.3,1.5601
CALL,100,71,1,0.02,0.2,8.0678
PUT,100,79,1,0.03,0.2,2.0652
CALL,100,71,1,0.02,0.2,6.973
CALL,100,92,1,0.04,0.2,9.7713
PUT,100,93,1,0.04,0.2,9.0861
CALL,100,80,1,0.03,0.2,3.9751
CALL,100,95,1,0.05,0.2,10.2973
CALL,100,90,1,0.04,0.2,10.4338
PUT,100,87,1,0.04,0.2,5.1051
PUT,100,99,1,0.05,0.2,10.283
PUT,100,99,1,0.05,0.2,10.2235
CALL,99,70,1,0.02,0.2,6.4196
CALL,100,93,1,0.04,0.2,10.1226
CALL,81,61,0.8,0.01,0.3,1.8748
CALL,100,89,1,0.04,0.2,8.732
PUT,100,99,1,0.05,0.2,10.2773
CALL,100,93,1,0.04,0.2,9.7295
CALL,100,82,1,0.03,0.2,6.9113
CALL,100,81,1,0.03,0.2,7.7861
CALL,100,81,1,0.03,0.2,5.5839
CALL,84,61,0.8,0.01,0.3,1.5975
CALL,100,87,1,0.04,0.2,10.239
CALL,100,84,1,0.03,0.2,7.1074
CALL,100,74,1,0.02,0.2,5.1092
CALL,76,60,0.8,0.01,0.3,1.5574
CALL,100,72,1,0.02,0.2,2.1127
CALL,100,87,1,0.04,0.2,7.8425
CALL,100,88,1,0.04,0.2,7.2709
CALL,100,82,1,0.03,0.2,3.311
PUT,100,81,1,0.03,0.2,1.8171
CALL,95,65,0.9,0.01,0.2,1.6388
CALL,100,79,1,0.03,0.2,9.3966
CALL,68,60,0.7,0.01,0.3,1.8876
CALL,95,65,0.9,0.01,0.2,2.8164
PUT,100,92,1,0.04,0.2,8.8138
CALL,99,68,1,0.02,0.2,3.0653
CALL,100,96,1,0.05,0.2,10.4208
CALL,100,78,1,0.03,0.2,3.2289
PUT,100,99,1,0.05,0.2,10.4254
PUT,100,99,1,0.05,0.2,10.4437
CALL,100,71,1,0.02,0.2,1.9035
PUT,100,95,1,0.05,0.2,8.3305
CALL,100,71,1,0.02,0.2,1.7195
CALL,100,72,1,0.02,0.2,2.6865
PUT,100,96,1,0.05,0.2,10.1504
CALL,93,64,0.9,0.01,0.2,1.7287
CALL,90,63,0.9,0.01,0.2,1.5701
CALL,100,94,1,0.05,0.2,10.0844
CALL,100,93,1,0.04,0.2,10.3842
CALL,90,63,0.9,0.01,0.2,3.832
CALL,100,75,1,0.02,0.2,5.1918
CALL,60,60,0.6,0.01,0.3,1.594
CALL,98,67,1,0.02,0.2,2.7818
PUT,99,70,1,0.02,0.2,1.5523
PUT,100,85,1,0.04,0.2,2.9214
CALL,100,77,1,0.03,0.2,5.9609
CALL,100,84,1,0.03,0.2,4.1109
CALL,100,93,1,0.04,0.2,10.1194
CALL,100,79,1,0.03,0.2,3.2737
CALL,100,73,1,0.02,0.2,5.8563
CALL,100,89,1,0.04,0.2,9.3013
PUT,100,87,1,0.04,0.2,4.1665
CALL,98,67,1,0.02,0.2,1.9737
CALL,75,60,0.7,0.01,0.3,1.5906
CALL,100,82,1,0.03,0.2,4.5248
CALL,90,63,0.9,0.01,0.2,1.7669
CALL,100,83,1,0.03,0.2,5.2202
CALL,100,93,1,0.04,0.2,10.3314
CALL,100,71,1,0.02,0.2,4.7509
CALL,100,78,1,0.03,0.2,7.6452
CALL,100,75,1,0.03,0.2,2.5442
CALL,100,76,1,0.03,0.2,3.1041
CALL,97,66,1,0.02,0.2,1.8273
CALL,100,90,1,0.04,0.2,10.3405
CALL,100,78,1,0.03,0.2,5.2143
CALL,100,74,1,0.02,0.2,2.4193
CALL,100,80,1,0.03,0.2,3.6966
CALL,100,97,1,0.05,0.2,10.4502
PUT,100,96,1,0.05,0.2,9.6521
CALL,100,85,1,0.04,0.2,10.0458
CALL,100,77,1,0.03,0.2,8.374
PUT,100,98,1,0.05,0.2,9.7265
CALL,100,71,1,0.02,0.2,5.6423
CALL,100,73,1,0.02,0.2,7.2417
CALL,99,68,1,0.02,0.2,3.7292
CALL,100,88,1,0.04,0.2,8.5499
CALL,100,89,1,0.04,0.2,8.7987
CALL,100,81,1,0.03,0.2,6.7207
CALL,100,82,1,0.03,0.2,10.2199
CALL,100,79,1,0.03,0.2,4.5083
CALL,88,62,0.9,0.01,0.2,1.6581
CALL,89,62,0.9,0.01,0.2,1.8743
CALL,100,84,1,0.04,0.2,8.0297
CALL,97,66,1,0.02,0.2,2.064
PUT,100,96,1,0.05,0.2,7.9192
CALL,96,65,1,0.02,0.2,2.1406
CALL,100,84,1,0.03,0.2,7.849
PUT,100,99,1,0.05,0.2,10.4154
CALL,95,65,0.9,0.01,0.2,3.1624
CALL,100,78,1,0.03,0.2,5.9946
PUT,100,85,1,0.04,0.2,4.4386
CALL,100,77,1,0.03,0.2,2.361
CALL,74,60,0.7,0.01,0.3,1.7584
CALL,100,85,1,0.04,0.2,7.6733
CALL,100,73,1,0.02,0.2,6.6533
PUT,100,90,1,0.04,0.2,5.9259
CALL,100,81,1,0.03,0.2,5.5257
CALL,100,83,1,0.03,0.2,5.7027
PUT,100,99,1,0.05,0.2,10.4124
PUT,100,96,1,0.05,0.2,9.3273
PUT,100,92,1,0.04,0.2,5.2757
CALL,100,94,1,0.04,0.2,9.9543
CALL,99,70,1,0.02,0.2,3.6463
PUT,100,92,1,0.04,0.2,9.1043
CALL,100,79,1,0.03,0.2,9.2287
CALL,100,75,1,0.02,0.2,2.089
CALL,99,70,1,0.02,0.2,3.7554
CALL,97,66,1,0.02,0.2,2.7533
PUT,100,92,1,0.04,0.2,8.987
CALL,96,65,1,0.02,0.2,2.5104
CALL,100,75,1,0.03,0.2,7.8431
PUT,100,99,1,0.05,0.2,10.4414
CALL,87,62,0.9,0.01,0.2,1.621
PUT,100,100,1,0.05,0.2,10.4494
CALL,96,65,1,0.02,0.2,1.8797
CALL,99,69,1,0.02,0.2,2.2656
CALL,88,62,0.9,0.01,0.2,1.573
CALL,100,74,1,0.02,0.2,4.3962
PUT,100,98,1,0.05,0.2,10.2139
CALL,100,92,1,0.04,0.2,9.0682
PUT,100,94,1,0.04,0.2,8.306
CALL,100,96,1,0.05,0.2,10.3591
PUT,100,94,1,0.04,0.2,8.0098
CALL,99,69,1,0.02,0.2,4.0271
CALL,100,79,1,0.03,0.2,8.6382
CALL,87,62,0.9,0.01,0.2,3.2057
CALL,100,82,1,0.03,0.2,3.8542
PUT,100,97,1,0.05,0.2,8.2239
CALL,100,71,1,0.02,0.2,2.8543
CALL,100,85,1,0.04,0.2,7.6372
CALL,100,82,1,0.03,0.2,3.7078
CALL,100,83,1,0.03,0.2,3.6329
CALL,100,85,1,0.04,0.2,6.9984
CALL,100,81,1,0.03,0.2,4.6999
CALL,100,91,1,0.04,0.2,9.9082
CALL,95,65,1,0.01,0.2,3.5705
CALL,100,83,1,0.03,0.2,3.8459
CALL,100,77,1,0.03,0.2,2.1025
PUT,100,98,1,0.05,0.2,9.6048
CALL,98,67,1,0.02,0.2,2.3031
CALL,100,94,1,0.05,0.2,10.0965
CALL,100,94,1,0.04,0.2,10.2614
PUT,100,87,1,0.04,0.2,4.2713
CALL,99,69,1,0.02,0.2,3.4116
CALL,90,63,0.9,0.01,0.2,1.5759
CALL,100,81,1,0.03,0.2,7.0879
CALL,95,65,0.9,0.01,0.2,2.6802
PUT,100,98,1,0.05,0.2,10.0043
CALL,100,91,1,0.04,0.2,9.1495
CALL,100,86,1,0.04,0.2,8.2107
CALL,100,77,1,0.03,0.2,4.7573
CALL,100,93,1,0.04,0.2,10.0185
CALL,92,63,0.9,0.01,0.2,3.1642
CALL,84,61,0.8,0.01,0.3,1.551
CALL,100,74,1,0.02,0.2,3.8733
CALL,100,86,1,0.04,0.2,6.4837
CALL,100,82,1,0.03,0.2,8.1229
CALL,100,71,1,0.02,0.2,3.8605
CALL,100,75,1,0.03,0.2,5.8755
CALL,75,60,0.7,0.01,0.3,1.5657
CALL,100,89,1,0.04,0.2,9.5709
CALL,99,71,1,0.02,0.2,2.9512
PUT,100,94,1,0.05,0.2,8.609
CALL,100,79,1,0.03,0.2,6.2695
CALL,100,77,1,0.03,0.2,7.0469
PUT,100,82,1,0.03,0.2,2.8266
CALL,100,71,1,0.02,0.2,2.8949
PUT,100,97,1,0.05,0.2,10.1632
CALL,100,79,1,0.03,0.2,5.091
CALL,100,94,1,0.05,0.2,10.1651
CALL,100,82,1,0.03,0.2,8.699
CALL,100,80,1,0.03,0.2,9.5125
CALL,100,74,1,0.02,0.2,4.0172
CALL,100,85,1,0.04,0.2,5.754
CALL,100,90,1,0.04,0.2,9.8272
CALL,67,60,0.7,0.01,0.3,1.5564
PUT,100,99,1,0.05,0.2,10.4167
CALL,100,90,1,0.04,0.2,9.7796
CALL,100,76,1,0.03,0.2,7.4932
PUT,100,79,1,0.03,0.2,2.168
CALL,94,64,0.9,0.01,0.2,2.2089
CALL,100,77,1,0.03,0.2,2.5508
CALL,99,69,1,0.02,0.2,3.0053
CALL,100,73,1,0.02,0.2,6.7596
CALL,100,92,1,0.04,0.2,10.3773
CALL,100,86,1,0.04,0.2,6.7002
CALL,83,61,0.8,0.01,0.3,4.2537
PUT,100,97,1,0.05,0.2,10.1508
CALL,100,74,1,0.02,0.2,7.2098
PUT,100,98,1,0.05,0.2,9.8852
CALL,100,78,1,0.03,0.2,8.1399
CALL,100,90,1,0.04,0.2,10.0387
CALL,100,73,1,0.02,0.2,3.6129
CALL,82,61,0.8,0.01,0.3,1.8564
CALL,97,66,1,0.02,0.2,2.4699
CALL,96,65,1,0.02,0.2,1.9792
CALL,97,66,1,0.02,0.2,1.8704
CALL,98,67,1,0.02,0.2,2.1332
CALL,100,96,1,0.05,0.2,10.3058
CALL,100,74,1,0.02,0.2,2.2446
CALL,100,72,1,0.02,0.2,1.9119
PUT,100,99,1,0.05,0.2,9.648
CALL,100,72,1,0.02,0.2,1.9974
CALL,100,79,1,0.03,0.2,4.4563
CALL,99,68,1,0.02,0.2,6.2129
CALL,86,62,0.9,0.01,0.2,2.6524
CALL,100,82,1,0.03,0.2,7.3946
CALL,100,72,1,0.02,0.2,2.1963
PUT,100,100,1,0.05,0.2,10.4495
PUT,100,100,1,0.05,0.2,10.4481
PUT,100,92,1,0.04,0.2,7.9711
CALL,74,60,0.7,0.01,0.3,1.5649
CALL,100,94,1,0.05,0.2,10.2116
CALL,99,70,1,0.02,0.2,3.7512
